id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,coordinate
8.13015E+17,Serviced apartment in New York · ★5.0 · 1 bedroom · 1 bed · 1 bath,496932087,Reservations,Manhattan,Lower East Side,Entire home/apt,424,1,6,9/4/2023,1.01,51,101,6,Exempt,"40.718880301555,-73.9871834749379"
8.13016E+17,Serviced apartment in New York · 1 bedroom · 1 bed · 1 bath,496932087,Reservations,Manhattan,Lower East Side,Entire home/apt,339,1,0,,,51,101,0,Exempt,"40.7191,-73.98735"
8.13049E+17,Rental unit in New York · ★4.91 · 1 bedroom · 1 bed · 1 bath,359360725,Juan,Manhattan,Hell's Kitchen,Entire home/apt,392,30,11,9/5/2023,1.56,1,0,11,,"40.7621872719064,-73.9955042953061"
8.13104E+17,Rental unit in Brooklyn · ★4.62 · 3 bedrooms · 4 beds · 1.5 baths,391579286,Avraham,Brooklyn,Crown Heights,Entire home/apt,248,30,21,9/23/2023,2.57,8,319,21,,"40.6704871775933,-73.9335122599653"
8.13179E+17,Rental unit in Brooklyn · ★5.0 · 1 bedroom · 1 bed · 1 bath,498135066,Mckenzie,Brooklyn,Red Hook,Entire home/apt,165,30,15,9/11/2023,2.28,1,157,15,,"40.6781076846397,-74.0110504404248"
8.13207E+17,Home in The Bronx · ★4.77 · 1 bedroom · 1 bed · 1 bath,498140931,Robertny,Bronx,Williamsbridge,Entire home/apt,93,30,26,8/22/2023,3.26,1,363,26,,"40.8800080113147,-73.8602768147835"
8.13406E+17,Townhouse in Queens · 2 bedrooms · 2 beds · 1.5 baths,496858629,Joe,Queens,Rosedale,Entire home/apt,130,30,1,4/12/2023,0.17,1,90,1,,"40.6511204,-73.7314533999999"
8.13639E+17,Rental unit in New York · ★4.24 · 1 bedroom · 1 bed · 1 shared bath,400013151,Luke,Manhattan,Kips Bay,Private room,143,30,41,9/17/2023,5.04,1,349,41,,"40.7432797745676,-73.9818101735981"
8.13642E+17,Hotel in New York · 1 bedroom · 2 beds · 1 bath,231281049,The Manhattan Club,Manhattan,Midtown,Private room,478,1,2,9/4/2023,1.02,10,329,2,,"40.7652357589854,-73.9820796128899"
8.13643E+17,Hotel in New York · 1 bedroom · 2 beds · 1 bath,231281049,The Manhattan Club,Manhattan,Midtown,Private room,525,1,2,8/13/2023,0.25,10,287,2,,"40.7661109446636,-73.9816923244585"
8.13644E+17,Hotel in New York · ★5.0 · 1 bedroom · 2 beds · 2 baths,231281049,The Manhattan Club,Manhattan,Midtown,Private room,526,1,5,8/30/2023,0.82,10,331,5,,"40.7639769022674,-73.9802921681738"
8.13647E+17,Hotel in New York · 1 bedroom · 2 beds · 2 baths,231281049,The Manhattan Club,Manhattan,Midtown,Private room,485,1,1,2/18/2023,0.13,10,292,1,,"40.7641193835889,-73.9821202954688"
8.137E+17,Condo in New York · Studio · 1 bed · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,177,30,0,,,20,101,0,,"40.7523552324673,-73.9714904428585"
8.137E+17,Condo in New York · Studio · 1 bed · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,177,30,0,,,20,101,0,,"40.7534905989649,-73.9733299575907"
8.137E+17,Condo in New York · Studio · 1 bed · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,177,30,0,,,20,101,0,,"40.7515129062482,-73.9728929387528"
8.137E+17,Condo in New York · Studio · 1 bed · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,177,30,0,,,20,101,0,,"40.75324,-73.97367"
8.137E+17,Condo in New York · Studio · 1 bed · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,177,30,0,,,20,101,0,,"40.7514676460069,-73.9713896076367"
8.137E+17,Condo in New York · 1 bedroom · 2 beds · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,194,30,0,,,20,96,0,,"40.7531372428264,-73.9713106170114"
8.137E+17,Condo in New York · 1 bedroom · 2 beds · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,194,30,0,,,20,96,0,,"40.7519740703392,-73.973622809222"
8.137E+17,Condo in New York · 1 bedroom · 2 beds · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,194,30,0,,,20,96,0,,"40.7523457153164,-73.9714917222126"
8.137E+17,Condo in New York · 1 bedroom · 2 beds · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,194,30,0,,,20,96,0,,"40.753712889228,-73.9733230486725"
8.137E+17,Condo in New York · 1 bedroom · 2 beds · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,194,30,0,,,20,96,0,,"40.7515460799825,-73.9718523223136"
8.13701E+17,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,56865116,Christopher,Manhattan,Hell's Kitchen,Entire home/apt,160,30,0,,,1,0,0,,"40.7669656760096,-73.9930090441009"
8.13701E+17,Condo in New York · 2 bedrooms · 3 beds · 2 baths,389697794,David,Manhattan,Midtown,Entire home/apt,256,30,0,,,20,88,0,,"40.75287,-73.97364"
8.13701E+17,Condo in New York · 2 bedrooms · 3 beds · 2 baths,389697794,David,Manhattan,Midtown,Entire home/apt,256,30,0,,,20,88,0,,"40.7536004342115,-73.9733096967696"
8.13701E+17,Condo in New York · 2 bedrooms · 3 beds · 2 baths,389697794,David,Manhattan,Midtown,Entire home/apt,256,30,0,,,20,88,0,,"40.7515122223445,-73.9728126233933"
8.13701E+17,Condo in New York · 2 bedrooms · 3 beds · 2 baths,389697794,David,Manhattan,Midtown,Entire home/apt,256,30,0,,,20,88,0,,"40.7530990833204,-73.9713970485962"
8.13701E+17,Condo in New York · 2 bedrooms · 3 beds · 2 baths,389697794,David,Manhattan,Midtown,Entire home/apt,256,30,0,,,20,88,0,,"40.7529765356566,-73.9715404221164"
8.13701E+17,Condo in New York · Studio · 1 bed · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,163,30,0,,,20,115,0,,"40.7534964342,-73.9729594042614"
8.13701E+17,Condo in New York · Studio · 1 bed · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,163,30,0,,,20,115,0,,"40.7522518385904,-73.9716510976465"
8.13701E+17,Condo in New York · Studio · 1 bed · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,163,30,0,,,20,115,0,,"40.75379043969,-73.9720868322889"
8.13701E+17,Condo in New York · Studio · 1 bed · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,163,30,0,,,20,115,0,,"40.7532838497621,-73.9712922296998"
8.13701E+17,Condo in New York · Studio · 1 bed · 1 bath,389697794,David,Manhattan,Midtown,Entire home/apt,163,30,0,,,20,115,0,,"40.7518726503445,-73.9720297611433"
8.13719E+17,Rental unit in New York · Studio · 1 bed · 1 bath,3864968,Joanna,Manhattan,Chelsea,Entire home/apt,140,31,0,,,1,298,0,,"40.7409637332581,-73.9992559936821"
8.13724E+17,Rental unit in New York · ★5.0 · 2 bedrooms · 2 beds · 1 bath,14927368,Maria,Manhattan,Gramercy,Entire home/apt,200,30,3,8/30/2023,1.38,1,206,3,,"40.7332297515674,-73.9817382910236"
8.13785E+17,Rental unit in New York · 2 bedrooms · 2 beds · 1 bath,450580547,Hannah M.,Manhattan,Upper West Side,Entire home/apt,275,30,0,,,45,364,0,,"40.7931121591624,-73.9666301222473"
8.13794E+17,Rental unit in Brooklyn · ★4.67 · 1 bedroom · 1 bed · 1 bath,136024214,Gabriel,Brooklyn,Cypress Hills,Entire home/apt,151,30,18,9/8/2023,2.34,8,290,18,,"40.678382,-73.893888"
8.13796E+17,Rental unit in New York · 3 bedrooms · 3 beds · 3 baths,17775359,Rove,Manhattan,Gramercy,Entire home/apt,736,30,1,4/22/2023,0.18,43,335,1,,"40.7341917815863,-73.9847770730137"
8.13833E+17,Rental unit in New York · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,28836096,Goerge,Manhattan,Morningside Heights,Private room,113,30,32,9/15/2023,4.14,1,136,32,,"40.81446,-73.95952"
8.13853E+17,Rental unit in Brooklyn · ★4.96 · 1 bedroom · 2 beds · 1 bath,481741155,Tae,Brooklyn,Greenpoint,Entire home/apt,149,30,25,9/27/2023,3.33,1,135,25,,"40.7323305934574,-73.941890415701"
8.13878E+17,Rental unit in New York · ★4.39 · 1 bedroom · 1 bed · 1 shared bath,408979935,Koichi,Manhattan,Gramercy,Private room,98,30,18,9/12/2023,2.32,24,32,18,Exempt,"40.7355078627837,-73.9858965557181"
8.1389E+17,Rental unit in The Bronx · ★4.48 · 1 bedroom · 3 beds · 1.5 baths,483378389,Alexes,Bronx,Norwood,Private room,53,30,33,9/17/2023,4.09,4,163,33,,"40.875790962124,-73.8831208030413"
8.13951E+17,Rental unit in Queens · 1 bedroom · 1 bed · 1.5 baths,137358866,Kaz,Queens,Elmhurst,Private room,67,30,2,8/5/2023,0.48,137,330,2,,"40.7295,-73.87337"
8.13975E+17,Guest suite in Queens · ★4.98 · Studio · 1 bed · 1 private bath,92900025,Amanda,Queens,Laurelton,Private room,114,30,115,9/28/2023,13.97,4,360,115,,"40.6832357734752,-73.7460336436246"
